symbol,status,display_label,signal,previous_signal,signal_date,sector,industry,trend,momentum,optionable,reason
AME,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 20, 2026",Industrials,Specialty Industrial Machinery,NEUTRAL,MOVING DOWN,,No active BUY transition
AMGN,LEADER,🚀 LEADER,BUY,BUY,"Jul 28, 2026",Health Care,Drug Manufacturers - General,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AMH,LEADER,🚀 LEADER,BUY,BUY,"Aug 21, 2026",Real Estate,REIT - Residential,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AMKR,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 06, 2026",Information Technology,Semiconductor Equipment & Materials,DOWNTREND,MOVING DOWN,,No active BUY transition
AMLX,LEADER,🚀 LEADER,BUY,BUY,"Aug 19, 2026",Health Care,Drug Manufacturers - Specialty & Generic,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AMPL,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 18, 2026",Information Technology,Software - Application,UPTREND,MOVING UP,,No active BUY transition
AMPX,UNCHANGED,UNCHANGED,,,,Industrials,Electrical Equipment & Parts,,,,Previously inactive symbol is absent
AMRX,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 08, 2026",Health Care,Drug Manufacturers - Specialty & Generic,UPTREND,MOVING DOWN,,No active BUY transition
AMT,LEADER,🚀 LEADER,BUY,BUY,"Jul 31, 2026",Real Estate,REIT - Specialty,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AMTM,UNCHANGED,UNCHANGED,,,,Industrials,Specialty Business Services,DOWNTREND,,,No active BUY transition
AMX,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 02, 2026",Communication Services,Telecom Services,DOWNTREND,MOVING UP,,No active BUY transition
AMZN,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 20, 2026",Consumer Discretionary,Internet Retail,UPTREND,MOVING DOWN,,No active BUY transition
ANET,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 21, 2026",Information Technology,Computer Hardware,UPTREND,MOVING DOWN,,No active BUY transition
AON,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 03, 2026",Financials,Insurance Brokers,NEUTRAL,MOVING DOWN,,No active BUY transition
AOS,LEADER,🚀 LEADER,BUY,BUY,"Aug 24, 2026",Industrials,Specialty Industrial Machinery,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
APA,LEADER,🚀 LEADER,BUY,BUY,"Jul 22, 2026",Energy,Oil & Gas E&P,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
APD,UNCHANGED,UNCHANGED,SELL,,"Aug 24, 2026",Materials,Specialty Chemicals,UPTREND,MOVING DOWN,,No active BUY transition
APG,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 20, 2026",Industrials,Engineering & Construction,NEUTRAL,MOVING DOWN,,No active BUY transition
APGE,UNCHANGED,UNCHANGED,,,,Health Care,Biotechnology,UPTREND,,,No active BUY transition
APH,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 20, 2026",Information Technology,Electronic Components,DOWNTREND,MOVING DOWN,,No active BUY transition
APLE,EMERGING,🔥 EMERGING,BUY,SELL,"Aug 25, 2026",Real Estate,REIT - Hotel & Motel,UPTREND,MOVING UP,,New BUY with rising trend and accelerating momentum
APO,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 24, 2026",Financials,Asset Management,UPTREND,MOVING DOWN,,No active BUY transition
APP,UNCHANGED,UNCHANGED,,,,Communication Services,Advertising Agencies,DOWNTREND,,,No active BUY transition
APPS,REMOVED,❌ REMOVED,SELL,BUY,"Aug 25, 2026",Information Technology,Software - Application,UPTREND,MOVING DOWN,,Prior BUY is missing or no longer rated BUY
AR,LEADER,🚀 LEADER,BUY,BUY,"Jul 31, 2026",Energy,Oil & Gas E&P,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
ARCC,LEADER,🚀 LEADER,BUY,BUY,"Jul 14, 2026",Financials,Asset Management,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
ARE,LEADER,🚀 LEADER,BUY,BUY,"Aug 24, 2026",Real Estate,REIT - Office,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
ARES,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 21, 2026",Financials,Asset Management,UPTREND,MOVING DOWN,,No active BUY transition
ARLO,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 12, 2026",Industrials,Building Products & Equipment,DOWNTREND,MOVING DOWN,,No active BUY transition
ARMK,DETERIORATING,⚠️ DETERIORATING,BUY,BUY,"Aug 13, 2026",Industrials,Specialty Business Services,UPTREND,MOVING DOWN,,Existing BUY momentum is weakening
AROC,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 08, 2026",Energy,Oil & Gas Equipment & Services,DOWNTREND,MOVING DOWN,,No active BUY transition
ARQT,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 27, 2026",Health Care,Biotechnology,DOWNTREND,MOVING DOWN,,No active BUY transition
ARR,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 19, 2026",Real Estate,REIT - Mortgage,DOWNTREND,MOVING DOWN,,No active BUY transition
ARWR,REMOVED,❌ REMOVED,SELL,BUY,"Aug 25, 2026",Health Care,Biotechnology,UPTREND,MOVING DOWN,,Prior BUY is missing or no longer rated BUY
ASB,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 20, 2026",Financials,Banks - Regional,UPTREND,MOVING DOWN,,No active BUY transition
ASML,DETERIORATING,⚠️ DETERIORATING,BUY,BUY,"Aug 13, 2026",Information Technology,Semiconductor Equipment & Materials,UPTREND,MOVING DOWN,,Existing BUY momentum is weakening
ASO,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 18, 2026",Consumer Discretionary,Specialty Retail,DOWNTREND,MOVING DOWN,,No active BUY transition
ASST,UNCHANGED,UNCHANGED,,,,Financials,Asset Management,UPTREND,,,No active BUY transition
ASTS,UNCHANGED,UNCHANGED,,,,Information Technology,Communication Equipment,DOWNTREND,,,No active BUY transition
ASX,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 20, 2026",Information Technology,Semiconductors,DOWNTREND,MOVING DOWN,,No active BUY transition
ATEN,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 10, 2026",Information Technology,Software - Infrastructure,DOWNTREND,MOVING DOWN,,No active BUY transition
ATI,REMOVED,❌ REMOVED,SELL,BUY,"Aug 25, 2026",Industrials,Metal Fabrication,UPTREND,MOVING DOWN,,Prior BUY is missing or no longer rated BUY
ATKR,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 19, 2026",Industrials,Electrical Equipment & Parts,UPTREND,MOVING DOWN,,No active BUY transition
ATO,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 31, 2026",Utilities,Utilities - Regulated Gas,DOWNTREND,MOVING DOWN,,No active BUY transition
AU,LEADER,🚀 LEADER,BUY,BUY,"Aug 06, 2026",Materials,Gold,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AUB,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 10, 2026",Financials,Banks - Regional,DOWNTREND,MOVING DOWN,,No active BUY transition
AUPH,LEADER,🚀 LEADER,BUY,BUY,"Aug 20, 2026",Health Care,Biotechnology,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AVAH,UNCHANGED,UNCHANGED,,,,Health Care,Medical Care Facilities,UPTREND,,,No active BUY transition
AVAV,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 24, 2026",Industrials,Aerospace & Defense,DOWNTREND,MOVING DOWN,,No active BUY transition
AVGO,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 19, 2026",Information Technology,Semiconductors,DOWNTREND,MOVING DOWN,,No active BUY transition
AVPT,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 13, 2026",Information Technology,Software - Infrastructure,UPTREND,MOVING DOWN,,No active BUY transition
AVT,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 21, 2026",Information Technology,Electronics & Computer Distribution,DOWNTREND,MOVING DOWN,,No active BUY transition
AVTR,EMERGING,🔥 EMERGING,BUY,SELL,"Aug 25, 2026",Health Care,Medical Instruments & Supplies,UPTREND,MOVING UP,,New BUY with rising trend and accelerating momentum
AWK,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 04, 2026",Utilities,Utilities - Regulated Water,UPTREND,MOVING UP,,No active BUY transition
AXGN,LEADER,🚀 LEADER,BUY,BUY,"Aug 04, 2026",Health Care,Medical Devices,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
AXP,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 23, 2026",Financials,Credit Services,DOWNTREND,MOVING DOWN,,No active BUY transition
AXTA,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 19, 2026",Materials,Specialty Chemicals,UPTREND,MOVING DOWN,,No active BUY transition
AXTI,REMOVED,❌ REMOVED,SELL,BUY,"Aug 25, 2026",Information Technology,Semiconductor Equipment & Materials,NEUTRAL,MOVING DOWN,,Prior BUY is missing or no longer rated BUY
AZN,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 13, 2026",Health Care,Drug Manufacturers - General,DOWNTREND,MOVING UP,,No active BUY transition
B,LEADER,🚀 LEADER,BUY,BUY,"Aug 05, 2026",Materials,Gold,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
BA,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 20, 2026",Industrials,Aerospace & Defense,DOWNTREND,MOVING DOWN,,No active BUY transition
BABA,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 13, 2026",Consumer Discretionary,Internet Retail,NEUTRAL,MOVING DOWN,,No active BUY transition
BAC,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 22, 2026",Financials,Banks - Diversified,UPTREND,MOVING DOWN,,No active BUY transition
BAH,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 24, 2026",Industrials,Consulting Services,UPTREND,MOVING DOWN,,No active BUY transition
BALL,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 06, 2026",Consumer Discretionary,Packaging & Containers,UPTREND,MOVING DOWN,,No active BUY transition
BAM,UNCHANGED,UNCHANGED,,,,Financials,Asset Management,UPTREND,,,No active BUY transition
BANC,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 28, 2026",Financials,Banks - Regional,DOWNTREND,MOVING DOWN,,No active BUY transition
BAND,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 21, 2026",Information Technology,Software - Infrastructure,DOWNTREND,MOVING DOWN,,No active BUY transition
BAX,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 18, 2026",Health Care,Medical Instruments & Supplies,UPTREND,MOVING DOWN,,No active BUY transition
BBIO,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 24, 2026",Health Care,Biotechnology,UPTREND,MOVING DOWN,,No active BUY transition
BBNX,UNCHANGED,UNCHANGED,,,,Health Care,Medical Devices,UPTREND,,,No active BUY transition
BBWI,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 11, 2026",Consumer Discretionary,Specialty Retail,DOWNTREND,MOVING DOWN,,No active BUY transition
BBY,LEADER,🚀 LEADER,BUY,BUY,"Aug 20, 2026",Consumer Discretionary,Specialty Retail,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
BCE,LEADER,🚀 LEADER,BUY,BUY,"Aug 07, 2026",Communication Services,Telecom Services,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
BCS,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 14, 2026",Financials,Banks - Diversified,DOWNTREND,MOVING DOWN,,No active BUY transition
BDX,LEADER,🚀 LEADER,BUY,BUY,"Jun 29, 2026",Health Care,Medical Instruments & Supplies,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
BE,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 18, 2026",Industrials,Electrical Equipment & Parts,DOWNTREND,MOVING DOWN,,No active BUY transition
BEAM,ACTIVE_BUY,ACTIVE BUY,BUY,BUY,"Aug 24, 2026",Health Care,Biotechnology,NEUTRAL,MOVING UP,,BUY remains active without a higher-priority setup
BEKE,LEADER,🚀 LEADER,BUY,BUY,"Aug 24, 2026",Real Estate,Real Estate Services,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
BEN,LEADER,🚀 LEADER,BUY,BUY,"Aug 03, 2026",Financials,Asset Management,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
BEP,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 24, 2026",Utilities,Utilities - Renewable,DOWNTREND,MOVING DOWN,,No active BUY transition
BEPC,UNCHANGED,UNCHANGED,,,,Utilities,Utilities - Renewable,DOWNTREND,,,No active BUY transition
BF/B,LEADER,🚀 LEADER,BUY,BUY,"Aug 21, 2026",Consumer Staples,Beverages - Wineries & Distilleries,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
BG,ACTIVE_BUY,ACTIVE BUY,BUY,BUY,"Aug 20, 2026",Consumer Staples,Farm Products,NEUTRAL,MOVING UP,,BUY remains active without a higher-priority setup
BGC,LEADER,🚀 LEADER,BUY,BUY,"Aug 24, 2026",Financials,Capital Markets,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
BHP,LEADER,🚀 LEADER,BUY,BUY,"Jul 28, 2026",Materials,Other Industrial Metals & Mining,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
BIIB,LEADER,🚀 LEADER,BUY,BUY,"Aug 10, 2026",Health Care,Drug Manufacturers - General,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
BILI,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 13, 2026",Communication Services,Internet Content & Information,DOWNTREND,MOVING DOWN,,No active BUY transition
BILL,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 17, 2026",Information Technology,Software - Application,UPTREND,MOVING UP,,No active BUY transition
BIPC,UNCHANGED,UNCHANGED,,,,Utilities,Utilities - Regulated Gas,DOWNTREND,,,No active BUY transition
BJ,EMERGING,🔥 EMERGING,BUY,SELL,"Aug 25, 2026",Consumer Staples,Discount Stores,UPTREND,MOVING UP,,New BUY with rising trend and accelerating momentum
BKD,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 14, 2026",Health Care,Medical Care Facilities,DOWNTREND,MOVING DOWN,,No active BUY transition
BKNG,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 21, 2026",Consumer Discretionary,Travel Services,UPTREND,MOVING DOWN,,No active BUY transition
BKR,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 19, 2026",Energy,Oil & Gas Equipment & Services,UPTREND,MOVING DOWN,,No active BUY transition
BKSY,UNCHANGED,UNCHANGED,,,,Industrials,Specialty Business Services,NEUTRAL,,,No active BUY transition
BL,LEADER,🚀 LEADER,BUY,BUY,"Aug 24, 2026",Information Technology,Software - Application,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
BLDR,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 09, 2026",Industrials,Building Products & Equipment,DOWNTREND,MOVING UP,,No active BUY transition
BLFS,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 19, 2026",Health Care,Medical Instruments & Supplies,UPTREND,MOVING DOWN,,No active BUY transition
BLMN,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 21, 2026",Consumer Discretionary,Restaurants,UPTREND,MOVING DOWN,,No active BUY transition
BLZE,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 17, 2026",Information Technology,Software - Infrastructure,UPTREND,MOVING DOWN,,No active BUY transition
BMNR,UNCHANGED,UNCHANGED,,,,Financials,Capital Markets,UPTREND,,,No active BUY transition
BMRN,DETERIORATING,⚠️ DETERIORATING,BUY,BUY,"Aug 11, 2026",Health Care,Biotechnology,UPTREND,MOVING DOWN,,Existing BUY momentum is weakening
BMY,LEADER,🚀 LEADER,BUY,BUY,"Aug 19, 2026",Health Care,Drug Manufacturers - General,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
BN,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 19, 2026",Financials,Asset Management,DOWNTREND,MOVING DOWN,,No active BUY transition
BNL,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 24, 2026",Real Estate,REIT - Diversified,DOWNTREND,MOVING DOWN,,No active BUY transition
BNS,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 20, 2026",Financials,Banks - Diversified,NEUTRAL,MOVING DOWN,,No active BUY transition
BNTX,LEADER,🚀 LEADER,BUY,BUY,"Aug 20, 2026",Health Care,Biotechnology,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
BNY,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 24, 2026",Financials,Banks - Diversified,UPTREND,MOVING DOWN,,No active BUY transition
BOX,UNCHANGED,UNCHANGED,SELL,SELL,"Jul 23, 2026",Information Technology,Software - Infrastructure,UPTREND,MOVING DOWN,,No active BUY transition
BP,LEADER,🚀 LEADER,BUY,BUY,"Jul 16, 2026",Energy,Oil & Gas Integrated,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
BR,LEADER,🚀 LEADER,BUY,BUY,"Jul 10, 2026",Information Technology,Information Technology Services,UPTREND,MOVING UP,,Sustained BUY with confirmed trend and momentum
BRBR,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 07, 2026",Consumer Staples,Packaged Foods,DOWNTREND,MOVING UP,,No active BUY transition
BRK/B,UNCHANGED,UNCHANGED,SELL,SELL,"Aug 17, 2026",Financials,Insurance - Diversified,NEUTRAL,MOVING DOWN,,No active BUY transition
